timestamp,current_speed_ms
2018-04-01T00:02:30Z,2.471
2018-04-01T00:17:30Z,2.906
2018-04-01T00:32:30Z,3.645
2018-04-01T00:47:30Z,4.018
2018-04-01T01:02:30Z,4.303
2018-04-01T01:17:30Z,4.576
2018-04-01T01:32:30Z,4.558
2018-04-01T01:47:30Z,4.633
2018-04-01T02:02:30Z,4.598
2018-04-01T02:17:30Z,4.792
2018-04-01T02:32:30Z,4.612
2018-04-01T02:47:30Z,4.404
2018-04-01T03:02:30Z,3.967
2018-04-01T03:17:30Z,4.015
2018-04-01T03:32:30Z,3.896
2018-04-01T03:47:30Z,3.6
2018-04-01T04:02:30Z,3.135
2018-04-01T04:17:30Z,2.749
2018-04-01T04:32:30Z,2.267
2018-04-01T04:47:30Z,1.703
2018-04-01T05:02:30Z,0.992
2018-04-01T05:17:30Z,0.472
2018-04-01T05:32:30Z,0.404
2018-04-01T05:47:30Z,2.044
2018-04-01T06:02:30Z,3.168
2018-04-01T06:17:30Z,2.863
2018-04-01T06:32:30Z,3.133
2018-04-01T06:47:30Z,3.404
2018-04-01T07:02:30Z,3.354
2018-04-01T07:17:30Z,3.444
2018-04-01T07:32:30Z,3.582
2018-04-01T07:47:30Z,3.536
2018-04-01T08:02:30Z,3.459
2018-04-01T08:17:30Z,3.437
2018-04-01T08:32:30Z,3.272
2018-04-01T08:47:30Z,3.023
2018-04-01T09:02:30Z,2.988
2018-04-01T09:17:30Z,2.728
2018-04-01T09:32:30Z,2.539
2018-04-01T09:47:30Z,2.278
2018-04-01T10:02:30Z,2.007
2018-04-01T10:17:30Z,1.726
2018-04-01T10:32:30Z,1.461
2018-04-01T10:47:30Z,1.016
2018-04-01T11:02:30Z,0.574
2018-04-01T11:17:30Z,0.246
2018-04-01T11:32:30Z,0.745
2018-04-01T11:47:30Z,1.291
2018-04-01T12:02:30Z,1.66
2018-04-01T12:17:30Z,2.318
2018-04-01T12:32:30Z,2.509
2018-04-01T12:47:30Z,3.339
2018-04-01T13:02:30Z,3.657
2018-04-01T13:17:30Z,4.09
2018-04-01T13:32:30Z,4.521
2018-04-01T13:47:30Z,4.646
2018-04-01T14:02:30Z,4.759
2018-04-01T14:17:30Z,4.589
2018-04-01T14:32:30Z,4.88
2018-04-01T14:47:30Z,4.831
2018-04-01T15:02:30Z,4.541
2018-04-01T15:17:30Z,4.411
2018-04-01T15:32:30Z,4.541
2018-04-01T15:47:30Z,4.272
2018-04-01T16:02:30Z,3.584
2018-04-01T16:17:30Z,3.239
2018-04-01T16:32:30Z,2.973
2018-04-01T16:47:30Z,2.578
2018-04-01T17:02:30Z,2.129
2018-04-01T17:17:30Z,1.445
2018-04-01T17:32:30Z,0.874
2018-04-01T17:47:30Z,0.303
2018-04-01T18:02:30Z,1.001
2018-04-01T18:17:30Z,2.906
2018-04-01T18:32:30Z,2.937
2018-04-01T18:47:30Z,3.022
2018-04-01T19:02:30Z,3.431
2018-04-01T19:17:30Z,3.518
2018-04-01T19:32:30Z,3.483
2018-04-01T19:47:30Z,3.502
2018-04-01T20:02:30Z,3.618
2018-04-01T20:17:30Z,3.689
2018-04-01T20:32:30Z,3.519
2018-04-01T20:47:30Z,3.445
2018-04-01T21:02:30Z,3.071
2018-04-01T21:17:30Z,3.038
2018-04-01T21:32:30Z,2.852
2018-04-01T21:47:30Z,2.728
2018-04-01T22:02:30Z,2.46
2018-04-01T22:17:30Z,2.236
2018-04-01T22:32:30Z,1.959
2018-04-01T22:47:30Z,1.626
2018-04-01T23:02:30Z,1.341
2018-04-01T23:17:30Z,0.912
2018-04-01T23:32:30Z,0.51
2018-04-01T23:47:30Z,0.185
2018-04-02T00:02:30Z,0.964
2018-04-02T00:17:30Z,1.444
2018-04-02T00:32:30Z,1.82
2018-04-02T00:47:30Z,2.443
2018-04-02T01:02:30Z,2.858
2018-04-02T01:17:30Z,3.599
2018-04-02T01:32:30Z,3.978
2018-04-02T01:47:30Z,4.45
2018-04-02T02:02:30Z,4.539
